               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.027253,           0.0088194,            0.008456,             0.98893,              0.9406,             0.98681,             0.88447,             0.01991,           0.0038208,           0.0080176,            0.003961,            0.003961,            0.003961
                  63,            0.026817,           0.0087024,           0.0077435,             0.98308,             0.95581,              0.9906,             0.88736,            0.019884,           0.0038755,           0.0079511,            0.003862,            0.003862,            0.003862
                  64,             0.02701,             0.00916,           0.0080795,             0.98916,             0.96297,             0.98905,             0.88609,            0.020003,           0.0038808,           0.0079669,            0.003763,            0.003763,            0.003763
                  65,            0.027154,             0.00961,           0.0080903,              0.9841,             0.94956,             0.98676,             0.88857,            0.019496,           0.0038226,           0.0079554,            0.003664,            0.003664,            0.003664
                  66,            0.026826,            0.009419,           0.0082062,             0.98868,             0.94301,             0.98979,             0.89299,            0.019747,            0.003816,           0.0079192,            0.003565,            0.003565,            0.003565
                  67,            0.026271,           0.0092903,           0.0079338,             0.97293,             0.97648,             0.99072,             0.90052,            0.019358,           0.0037224,           0.0079168,            0.003466,            0.003466,            0.003466
                  68,            0.025542,           0.0090009,           0.0075328,             0.97332,             0.97765,             0.99049,             0.89778,            0.019344,           0.0036643,           0.0078808,            0.003367,            0.003367,            0.003367
                  69,            0.026093,           0.0092015,            0.007338,              0.9834,             0.95371,             0.98955,             0.89149,            0.019304,           0.0036541,           0.0078174,            0.003268,            0.003268,            0.003268
                  70,            0.025264,            0.009473,           0.0075376,             0.97769,             0.97349,             0.99075,             0.89652,            0.019301,           0.0036789,           0.0077603,            0.003169,            0.003169,            0.003169
                  71,            0.025502,           0.0087719,           0.0081328,             0.98152,             0.95518,               0.988,             0.89652,            0.019393,           0.0037729,           0.0078113,             0.00307,             0.00307,             0.00307
                  72,            0.025871,           0.0088819,           0.0075314,             0.98333,             0.96441,             0.99121,             0.90278,            0.019398,           0.0037559,           0.0078436,            0.002971,            0.002971,            0.002971
                  73,            0.024843,           0.0091894,           0.0070732,             0.98856,             0.94932,             0.99076,             0.89889,            0.019365,           0.0037317,           0.0078146,            0.002872,            0.002872,            0.002872
                  74,            0.026694,           0.0093758,           0.0087298,             0.98371,             0.96642,             0.98973,              0.8946,            0.019298,           0.0036352,           0.0077461,            0.002773,            0.002773,            0.002773
                  75,            0.025063,           0.0083538,           0.0075661,             0.97827,              0.9608,             0.98693,             0.88396,            0.019519,           0.0037707,           0.0079011,            0.002674,            0.002674,            0.002674
                  76,             0.02534,           0.0089349,           0.0080461,             0.98302,             0.95248,             0.98625,             0.88949,            0.019205,           0.0035919,            0.007731,            0.002575,            0.002575,            0.002575
                  77,            0.025096,           0.0087466,           0.0077823,             0.98885,             0.95295,             0.98748,             0.89594,             0.01926,           0.0035748,           0.0078129,            0.002476,            0.002476,            0.002476
                  78,            0.023982,           0.0083999,           0.0071066,             0.98318,             0.96349,             0.98792,             0.89092,            0.019279,           0.0035841,           0.0077995,            0.002377,            0.002377,            0.002377
                  79,            0.025736,           0.0087705,           0.0083089,             0.98927,              0.9472,             0.98558,             0.89371,            0.019145,           0.0036109,           0.0078786,            0.002278,            0.002278,            0.002278
                  80,            0.025029,           0.0092652,           0.0076244,             0.98901,             0.94548,               0.986,             0.90222,            0.019021,           0.0036631,           0.0078468,            0.002179,            0.002179,            0.002179
                  81,            0.024892,           0.0088809,           0.0076431,             0.98578,              0.9608,             0.98424,             0.89702,            0.019024,           0.0036245,           0.0078249,             0.00208,             0.00208,             0.00208
                  82,            0.025227,           0.0093778,           0.0092262,             0.98911,              0.9539,             0.98551,             0.90204,            0.018941,           0.0036466,            0.007814,            0.001981,            0.001981,            0.001981
                  83,            0.023917,           0.0083595,           0.0073508,             0.98895,             0.95162,              0.9853,             0.89786,            0.018951,            0.003705,           0.0078441,            0.001882,            0.001882,            0.001882
                  84,            0.024993,           0.0082528,           0.0081832,             0.98895,             0.96442,             0.98808,             0.90689,            0.018813,           0.0036588,           0.0077931,            0.001783,            0.001783,            0.001783
                  85,            0.025051,            0.008873,           0.0070861,             0.98903,             0.96626,             0.99017,             0.90991,             0.01878,           0.0036731,           0.0077951,            0.001684,            0.001684,            0.001684
